	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
2286	Top Vision	1.6 HMC				
2287	Tropical	MACIE	52	15	136	146
2288	Gross Optic	Очковая Линза Gross-Optic 1.5 DRIVE Coat (E)				
2289	Gross Optic	Очковая Линза Gross-Optic 1.6 DRIVE Coat (E)				
2290	Gross Optic	Очковая Gross-Optic 1.5 Бифокальная Линза со скрытым сегментом Hard Satin Coat (E)				
2291	Gross Optic	Очковая Gross-Optic 1.5 Бифокальная Transition gen8/XTRActive Hard Satin Coat (E)				
2292	Gross Optic	Очковая Линза Gross-Optic 1.6 AS HSC Satin Coat				
2293	Gross Optic	Очковая линза Gross-Optic 1.5 Optima/Dynamic/Indoor HD Hard Satin Coat (E)				
2294	Gross Optic	Очковая линза Gross-Optic 1.6 Optima/Dynamic/Indoor HD Hard Satin Coat (E)				
2295	Gross Optic	Очковая линза Gross-Optic 1.67 Optima/Dynamic/Indoor HD Hard Satin Coat (E)				
2296	Gross Optic	Очковая линза Gross-Optic 1.74 Optima/Dynamic/Indoor HD Hard Satin Coat (E)				
2297	William Morris	LN50174 C2	57	15	138	135
2298	William Morris	LN50191 C2	53	16	143	137
2299	William Morris	LN50250 C3	54	17	143	134
2300	William Morris	LN50112 C3	48	18	145	135
2301	William Morris	LN50273 C2	56	18	143	140
2302	William Morris	LN50181 C3	57	16	145	145
2303	William Morris	LN50064 C3	54	18	145	140
2304	William Morris	LN50154 C1	58	16	143	140
2305	William Morris	LN50274 C3	54	18	145	137
2306	Riviera	RVS-917M c3	55	20	155	141
2307	Riviera	RVS-112222 c5	53	16	143	132
2308	Riviera	RVS-112224 c3	54	16	140	142
2309	Riviera	RVS-112228 c3	51	19	140	135
2310	Riviera	RVS-112228 c5	51	19	140	134
2311	William Morris	LN50181 C1	57	16	145	145
2312	William Morris	LN50182 C2	55	18	145	144
2313	William Morris	LN50135 C2	51	20	145	133
2314	Roy Robson	Titan 40083-2	51	20	145	138
2315	Roy Robson	Titan 60105-3	55	15	145	138
2316	Roy Robson	Titan 40090-3	54	18	145	140
2317	Roy Robson	10078-1	57	17	145	142
2318	Roy Robson	Titan 60117 -1	55	16	145	135
2319	Laura Ashley	LA 372 col.1	53	16	140	135
2320	Laura Ashley	LA 372 col.2	53	16	140	134
2321	Laura Ashley	LA 372 col.3	53	16	140	133
2322	Laura Ashley	LA 358 col.3	50	19	135	132
2323	Laura Ashley	LA 370 col.1	52	18	140	135
2324	Laura Ashley	LA 690B col.2	51	21	140	135
2325	Laura Ashley	LA 690B col.3	51	21	140	135
2326	Laura Ashley	LA 678B col.2	51	17	135	135
2327	Laura Ashley	LA 678B col.3	51	17	135	135
2328	Laura Ashley	LA 678 col.4	51	17	135	135
2329	Laura Ashley	LA 675B col.1	51	18	135	132
2330	Laura Ashley	LA 675B col.3	51	18	135	132
2331	Laura Ashley	LA 676B col.1	51	17	140	135
2332	Laura Ashley	LA 686B col.2	52	18	135	140
2333	Laura Ashley	LA 682 col.4	51	17	135	135
2334	Laura Ashley	LA 1013B col.4	51	18	140	132
2335	Laura Ashley	LA 1016 col.4	53	18	140	137
2336	Laura Ashley	LA 190 col.3	53	16	140	138
2337	Rafaelle	RLJ-1908 c2	56	17	145	135
2338	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 49530	44	14	105	116
2339	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 59232	44	17	105	117
2340	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 59331	44	17	105	115
2341	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 48333	48	15	120	120
2342	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 65620	48	17	125	122
2343	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 47553	44	15	125	125
2344	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 50535	45	18	130	130
2345	Nanosun Kids	Солнцезащитные очки NANOSUN, NS 47510	45	20	120	124
2346	Polaroid Kids	PLD 8041/S RNB	47	17	125	121
2347	Polaroid Kids	PLD 8014/S MC1	46	18	127	118
2348	Polaroid Kids	Polaroid Kids, P0425B KEA	55	14	117	125
2349	Polaroid	PLD 6064/G/S 807	52	20	140	140
2350	Polaroid	PLD 6034/S 003	51	21	145	139
2351	Polaroid	PLD 6034/S PJP	51	21	145	140
2352	Barbie Kids	BBCL002, BLK	46	18	130	124
2353	Bulget	BG1719M C4	58	18	145	146
2354	Calando Junior	TRJ-12 C3	52	14	135	137
2355	Calando Junior	TRD-12 C6	52	14	135	138
2356	Calando Junior	TRD-06 C6	46	16	125	125
2357	Calando Junior	TRD-06 C4	46	16	126	125
2358	Calando Junior	TRD-2 1 C3	45	16	125	118
2359	Calando Junior	TRD-21 C5	45	16	125	118
2360	Calando Junior	TRD-21 C4	45	16	125	118
2361	Calando Junior	TRD-01 C10	45	15	125	125
2362	Calando Junior	TRD-09 C12	50	16	125	125
2363	Swing	LO 152 col.31	51	20	140	138
2364	Swing	LO 153 c33	54	15	145	138
2365	Swing	LO 152 c33	51	20	140	138
2366	Swing	LO 154 col.31	54	14	145	135
2367	Swing	LO 155 col.22	55	16	140	138
2368	Swing	LO 155 c33	55	16	140	140
2369	Swing	MO 2 col.7	46	19	140	131
2370	Swing	MO 78 col.4	50	20	145	136
2371	Swing	MO 92 col.2	48	20	140	127
2372	Ventoe	VCL 4211 C11	56	16	140	136
2373	Swing	Tr 122 col.193	54	17	140	145
2374	Swing	Tr 385 col.378	51	18	140	137
2375	La Stella	841 C3	56	18	150	144
2376	La Stella	LSO 1005 C3	56	18	145	142
2377	La Stella	LSO 1005  C4	56	18	145	145
2378	La Stella	LSO 1005  C2	56	18	145	146
2379	Blancia	BC-1200 С1	56	16	145	142
2380	Blancia	BC-1143 С1	58	16	145	145
2381	Sferoflex	SF 1576-C352	54	15	135	140
2382	Sferoflex	SF 1576-C585	54	15	135	140
2383	Sferoflex	SF 2288-132	54	17	145	138
2384	Sferoflex	SF 2269 - 522	54	21	145	139
2385	Sferoflex	SF 9005-3015	56	19	140	145
2386	Sferoflex	SF 9005-3001	56	19	140	145
2387	Sferoflex	SF 2271-526	55	18	145	140
2388	Sferoflex	SF 2271-441	57	18	145	144
2389	Sferoflex	SF 2289-231	53	17	145	135
2390	La Stella	827 С1	53	17	140	132
2391	Sferoflex	SF 2249-S709	57	16	145	142
2392	La Stella	841 C2	56	18	150	143
2393	La Stella	839 C3	56	18	150	140
2394	Despada	DS-2107 c.4	60	14	140	140
2395	Hot Wheels Kids	HWBB001 BLK	49	15	127	123
2396	Hot Wheels Kids	HWBB004 GREY	48	15	127	124
2397	Hot Wheels Kids	HWV110 GREY	49	18	140	127
2398	Hot Wheels Kids	HWV116 GREY	44	15	120	117
2399	Hot Wheels Kids	HWV116 BLK	44	15	120	117
2400	Barbie Kids	BBV035,  SLV	49	19	135	127
2401	Blancia	BC-1125 c2	61	15	140	137
2402	Blancia	BC-1201 C1	55	20	145	141
2403	Blancia	BC-286 C1	51	19	140	131
2404	Blancia	BC-1133 c1	62	17	140	148
2405	Blancia	BC-1130 c4	58	20	145	145
2406	Despada	DS-1300 c.2	65	12	135	144
2407	Despada	DS-1934 c.1	57	17	135	138
2408	Despada	DS-1823 c.1	53	18	145	136
2409	Despada	DS-1852 c.2	59	26	143	145
2410	Despada	DS-2088 01	51	21	148	143
2411	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USOCW 0005 C2	56	18	140	137
2412	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USOCM 0001 C2	55	17	140	137
2413	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0068 C1	54	18	140	133
2414	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0048 C3	50	20	142	130
2415	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0067 C4	52	20	145	140
2416	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0067 C1	52	20	145	140
2417	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0067 C2	52	20	145	140
2418	Shamir	GREY)				
2419	Shamir	Очковая линза Shamir Altolite 1.60 AS Transitions XTRActive NG HMC+ (GREY)				
2420	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0086 C3	60	18	150	150
2421	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USOCM 0033 C3	52	17	135	137
2422	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0087 C3	57	18	145	144
2423	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USOCM 0027 C1	53	18	140	138
2424	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0060 C1	55	18	145	135
2425	U.s. Polo Assn.	Оправа U.S.POLO ASSN, USO 0060 C2	55	18	145	135
2426	Despada	DS-906 c.2	55	17	140	140
2427	Despada	DS-906 c.4	55	17	140	138
2428	Despada	DS-773 c.3	54	18	145	136
2429	Roy Robson	Titan 40084 - 1	54	18	145	144
2430	Roy Robson	Titan 60116 - 3	56	15	145	142
2431	Roy Robson	10084- 2	57	17	145	145
2432	Roy Robson	10084- 1	57	17	145	140
2433	Blancia	BC-205 C3	56	15	140	137
2434	Blancia	BC-168 c.2	55	15	142	135
2435	Blancia	BC-183 C1	53	13	135	137
2436	Blancia	BC-185 c.3	50	19	140	140
2437	Blancia	BC-180 C1	52	19	140	134
2438	Blancia	BC-209 c.3	53	19	140	132
2439	Filos	FF1309, 07	60	19	145	148
2440	Filos	FF1316, 04	58	17	145	143
2441	Filos	FF1309, 05	60	19	145	148
2442	Filos	FF1313, 12	57	18	145	140
2443	Filos	FF1305, 07	55	18	140	135
2444	Filos	FF1315, 01	55	18	145	133
2445	Filos	FF1315, 03	55	18	145	135
2446	Filos	FF1302, 07	58	16	145	140
2447	Filos	FF1304, 07	57	18	140	142
2448	Filos	FF1300, 04	57	18	145	134
2449	Filos	FF1300, 05	57	18	145	134
2450	Filos	FF1303, 03	56	18	140	138
2451	Filos	FF1303, 01	56	18	140	138
2452	Filos	FF1303, 07	56	18	140	138
